,index,listing_count,avg_price,lowest_price_good_deal,lowest_price,highest_price,datetime_local,created_at,address,city,country,extended_address,venueid,venuename,postal_code,venuescore,venuestate,announce_date,short_title,datetime_utc,ticket_score,datetime_tbd,visible_until_utc,id,home_team,away_team,hometeamscore,awayteamscore,dateutc,timeutc,daysaway
0,0,1224.0,52.0,24.0,24.0,231.0,2015-12-06T13:00:00,2015-04-22T00:00:00,1 Bills Drive,Orchard Park,US,"Orchard Park, NY 14127",1135,Ralph Wilson Stadium,14127,0.90079,NY,2015-04-22T00:00:00,Texans at Bills,2015-12-06T18:00:00,0.82702,False,2015-12-06T22:00:00,2594531,Buffalo Bills,Houston Texans,0.79211,0.81394,2015-12-06,18:00:00,1
1,1,2523.0,139.5,75.0,75.0,670.0,2015-12-13T13:00:00,2015-04-22T00:00:00,1020 Pattison Avenue,Philadelphia,US,"Philadelphia, PA 19148",330,Lincoln Financial Field,19148,0.91464,PA,2015-04-22T00:00:00,Bills at Eagles,2015-12-13T18:00:00,0.8664,False,2015-12-13T22:00:00,2594419,Philadelphia Eagles,Buffalo Bills,0.82966,0.79211,2015-12-13,18:00:00,8
2,2,7401.0,209.0,45.0,45.0,1063.0,2015-12-20T13:00:00,2015-04-22T00:00:00,1600 Fedex Way,Landover,US,"Landover, MD 20785",35,FedEx Field,20785,0.95085,MD,2015-04-22T00:00:00,Bills at Redskins,2015-12-20T18:00:00,0.88705,False,2015-12-20T22:00:00,2594356,Washington Redskins,Buffalo Bills,0.84262,0.79211,2015-12-20,18:00:00,15
3,3,2910.0,177.0,87.0,87.0,1487.0,2015-12-27T13:00:00,2015-04-22T00:00:00,1 Bills Drive,Orchard Park,US,"Orchard Park, NY 14127",1135,Ralph Wilson Stadium,14127,0.90079,NY,2015-04-22T00:00:00,Cowboys at Bills,2015-12-27T18:00:00,0.87097,False,2015-12-27T22:00:00,2594529,Buffalo Bills,Dallas Cowboys,0.79211,0.88222,2015-12-27,18:00:00,22
4,4,4172.0,90.0,40.0,40.0,5775.0,2016-01-03T13:00:00,2015-04-22T00:00:00,1 Bills Drive,Orchard Park,US,"Orchard Park, NY 14127",1135,Ralph Wilson Stadium,14127,0.90079,NY,2015-04-22T00:00:00,Jets at Bills,2016-01-03T18:00:00,0.8465,False,2016-01-03T22:00:00,2594532,Buffalo Bills,New York Jets,0.79211,0.84767,2016-01-03,18:00:00,29
5,5,940.0,100.0,29.0,29.0,1156.0,2015-12-06T13:00:00,2015-04-22T00:00:00,2269 NW 199th St,Miami Gardens,US,"Miami Gardens, FL 33056",29,Sun Life Stadium,33056,0.84595,FL,2015-04-22T00:00:00,Ravens at Dolphins,2015-12-06T18:00:00,0.82358,False,2015-12-06T22:00:00,2594468,Miami Dolphins,Baltimore Ravens,0.80367,0.79878,2015-12-06,18:00:00,1
6,6,1383.0,375.5,125.0,125.0,1391.0,2015-12-14T20:30:00,2015-04-22T00:00:00,2269 NW 199th St,Miami Gardens,US,"Miami Gardens, FL 33056",29,Sun Life Stadium,33056,0.84595,FL,2015-04-22T00:00:00,Giants at Dolphins,2015-12-15T01:30:00,0.85221,False,2015-12-15T05:30:00,2594469,Miami Dolphins,New York Giants,0.80367,0.85936,2015-12-15,01:30:00,10
7,7,3489.0,158.0,68.0,68.0,1223.0,2015-12-20T13:25:00,2015-04-22T00:00:00,9449 Friars Road,San Diego,US,"San Diego, CA 92108",1134,Qualcomm Stadium,92108,0.90586,CA,2015-04-22T00:00:00,Dolphins at Chargers,2015-12-20T21:25:00,0.86273,False,2015-12-21T01:25:00,2594374,San Diego Chargers,Miami Dolphins,0.83726,0.80367,2015-12-20,21:25:00,15
8,8,2021.0,197.0,62.0,62.0,1630.0,2015-12-27T13:00:00,2015-04-22T00:00:00,2269 NW 199th St,Miami Gardens,US,"Miami Gardens, FL 33056",29,Sun Life Stadium,33056,0.84595,FL,2015-04-22T00:00:00,Colts at Dolphins,2015-12-27T18:00:00,0.83472,False,2015-12-27T22:00:00,2594326,Miami Dolphins,Indianapolis Colts,0.80367,0.79474,2015-12-27,18:00:00,22
9,9,1010.0,416.0,178.0,178.0,3151.0,2016-01-03T13:00:00,2015-04-22T00:00:00,2269 NW 199th St,Miami Gardens,US,"Miami Gardens, FL 33056",29,Sun Life Stadium,33056,0.84595,FL,2015-04-22T00:00:00,Patriots at Dolphins,2016-01-03T18:00:00,0.84039,False,2016-01-03T22:00:00,2594472,Miami Dolphins,New England Patriots,0.80367,0.84576,2016-01-03,18:00:00,29
10,10,287.0,301.5,146.0,146.0,664.0,2015-12-06T16:25:00,2015-04-22T00:00:00,1 Patriot Place,Foxborough,US,"Foxborough, MA 02035",33,Gillette Stadium,02035,0.90237,MA,2015-04-22T00:00:00,Eagles at Patriots,2015-12-06T21:25:00,0.85573,False,2015-12-07T01:25:00,2594477,New England Patriots,Philadelphia Eagles,0.84576,0.82966,2015-12-06,21:25:00,1
11,15,1527.0,458.0,247.0,247.0,2047.0,2015-12-13T19:30:00,2015-04-22T00:00:00,1 Reliant Park,Houston,US,"Houston, TX 77054",41,NRG Stadium,77054,0.84406,TX,2015-04-22T00:00:00,Patriots at Texans,2015-12-14T01:30:00,0.86208,False,2015-12-14T05:30:00,2594441,Houston Texans,New England Patriots,0.81394,0.84576,2015-12-14,01:30:00,9
12,19,616.0,451.0,260.0,260.0,5324.0,2015-12-20T13:00:00,2015-04-22T00:00:00,1 Patriot Place,Foxborough,US,"Foxborough, MA 02035",33,Gillette Stadium,02035,0.90237,MA,2015-04-22T00:00:00,Titans at Patriots,2015-12-20T18:00:00,0.84441,False,2015-12-20T22:00:00,2594478,New England Patriots,Tennessee Titans,0.84576,0.76112,2015-12-20,18:00:00,15
13,20,4597.0,248.0,125.0,125.0,2888.0,2015-12-27T13:00:00,2015-04-22T00:00:00,1 MetLife Stadium Drive,East Rutherford,US,"East Rutherford, NJ 07073",1587,MetLife Stadium,07073,0.96023,NJ,2015-04-22T00:00:00,Patriots at Jets,2015-12-27T18:00:00,0.89562,False,2015-12-27T22:00:00,2594290,New York Jets,New England Patriots,0.84767,0.84576,2015-12-27,18:00:00,22
14,23,1010.0,416.0,178.0,178.0,3151.0,2016-01-03T13:00:00,2015-04-22T00:00:00,2269 NW 199th St,Miami Gardens,US,"Miami Gardens, FL 33056",29,Sun Life Stadium,33056,0.84595,FL,2015-04-22T00:00:00,Patriots at Dolphins,2016-01-03T18:00:00,0.84039,False,2016-01-03T22:00:00,2594472,Miami Dolphins,New England Patriots,0.80367,0.84576,2016-01-03,18:00:00,29
15,48,536.0,362.5,235.0,210.0,1435.0,2015-12-06T13:00:00,2015-04-22T00:00:00,1 MetLife Stadium Drive,East Rutherford,US,"East Rutherford, NJ 07073",1587,MetLife Stadium,07073,0.96023,NJ,2015-04-22T00:00:00,Jets at Giants,2015-12-06T18:00:00,0.88629,False,2015-12-06T22:00:00,2594566,New York Giants,New York Jets,0.85936,0.84767,2015-12-06,18:00:00,1
16,49,6443.0,107.0,25.0,25.0,1046.0,2015-12-13T13:00:00,2015-04-22T00:00:00,1 MetLife Stadium Drive,East Rutherford,US,"East Rutherford, NJ 07073",1587,MetLife Stadium,07073,0.96023,NJ,2015-04-22T00:00:00,Titans at Jets,2015-12-13T18:00:00,0.87717,False,2015-12-13T22:00:00,2594507,New York Jets,Tennessee Titans,0.84767,0.76112,2015-12-13,18:00:00,8
17,51,4174.0,255.0,95.0,95.0,26732.0,2015-12-19T19:25:00,2015-04-22T00:00:00,1 Legends Way,Arlington,US,"Arlington, TX 76011",4965,AT&T Stadium,76011,0.98467,TX,2015-04-22T00:00:00,Jets at Cowboys,2015-12-20T01:25:00,0.91389,False,2015-12-20T05:25:00,2594315,Dallas Cowboys,New York Jets,0.88222,0.84767,2015-12-20,01:25:00,15
18,52,4597.0,248.0,125.0,125.0,2888.0,2015-12-27T13:00:00,2015-04-22T00:00:00,1 MetLife Stadium Drive,East Rutherford,US,"East Rutherford, NJ 07073",1587,MetLife Stadium,07073,0.96023,NJ,2015-04-22T00:00:00,Patriots at Jets,2015-12-27T18:00:00,0.89562,False,2015-12-27T22:00:00,2594290,New York Jets,New England Patriots,0.84767,0.84576,2015-12-27,18:00:00,22
19,53,4172.0,90.0,40.0,40.0,5775.0,2016-01-03T13:00:00,2015-04-22T00:00:00,1 Bills Drive,Orchard Park,US,"Orchard Park, NY 14127",1135,Ralph Wilson Stadium,14127,0.90079,NY,2015-04-22T00:00:00,Jets at Bills,2016-01-03T18:00:00,0.8465,False,2016-01-03T22:00:00,2594532,Buffalo Bills,New York Jets,0.79211,0.84767,2016-01-03,18:00:00,29
20,56,940.0,100.0,29.0,29.0,1156.0,2015-12-06T13:00:00,2015-04-22T00:00:00,2269 NW 199th St,Miami Gardens,US,"Miami Gardens, FL 33056",29,Sun Life Stadium,33056,0.84595,FL,2015-04-22T00:00:00,Ravens at Dolphins,2015-12-06T18:00:00,0.82358,False,2015-12-06T22:00:00,2594468,Miami Dolphins,Baltimore Ravens,0.80367,0.79878,2015-12-06,18:00:00,1
21,57,1947.0,137.0,55.0,55.0,1474.0,2015-12-13T13:00:00,2015-04-22T00:00:00,1101 Russell St,Baltimore,US,"Baltimore, MD 21230",1121,M&T Bank Stadium,21230,0.89962,MD,2015-04-22T00:00:00,Seahawks at Ravens,2015-12-13T18:00:00,0.85394,False,2015-12-13T22:00:00,2594412,Baltimore Ravens,Seattle Seahawks,0.79878,0.84011,2015-12-13,18:00:00,8
22,58,2338.0,127.0,38.0,38.0,1181.0,2015-12-20T13:00:00,2015-04-22T00:00:00,1101 Russell St,Baltimore,US,"Baltimore, MD 21230",1121,M&T Bank Stadium,21230,0.89962,MD,2015-04-22T00:00:00,Chiefs at Ravens,2015-12-20T18:00:00,0.83432,False,2015-12-20T22:00:00,2594415,Baltimore Ravens,Kansas City Chiefs,0.79878,0.79486,2015-12-20,18:00:00,15
23,59,1901.0,250.0,100.0,100.0,1452.0,2015-12-27T20:30:00,2015-04-22T00:00:00,1101 Russell St,Baltimore,US,"Baltimore, MD 21230",1121,M&T Bank Stadium,21230,0.89962,MD,2015-04-22T00:00:00,Steelers at Ravens,2015-12-28T01:30:00,0.8523,False,2015-12-28T05:30:00,2594416,Baltimore Ravens,Pittsburgh Steelers,0.79878,0.81684,2015-12-28,01:30:00,23
24,60,3675.0,137.0,45.0,45.0,1365.0,2016-01-03T13:00:00,2015-04-22T00:00:00,1 Paul Brown Stadium,Cincinnati,US,"Cincinnati, OH 45202",1124,Paul Brown Stadium,45202,0.87184,OH,2015-04-22T00:00:00,Ravens at Bengals,2016-01-03T18:00:00,0.83653,False,2016-01-03T22:00:00,2594288,Cincinnati Bengals,Baltimore Ravens,0.78914,0.79878,2016-01-03,18:00:00,29
25,61,1271.0,38.0,16.0,16.0,381.0,2015-12-06T13:00:00,2015-04-22T00:00:00,100 Alfred Lerner Way,Cleveland,US,"Cleveland, OH 44114",1123,FirstEnergy Stadium,44114,0.87647,OH,2015-04-22T00:00:00,Bengals at Browns,2015-12-06T18:00:00,0.81024,False,2015-12-06T22:00:00,2594515,Cleveland Browns,Cincinnati Bengals,0.77378,0.78914,2015-12-06,18:00:00,1
26,62,2575.0,187.0,97.0,97.0,2284.0,2015-12-13T13:00:00,2015-04-22T00:00:00,1 Paul Brown Stadium,Cincinnati,US,"Cincinnati, OH 45202",1124,Paul Brown Stadium,45202,0.87184,OH,2015-04-22T00:00:00,Steelers at Bengals,2015-12-13T18:00:00,0.84851,False,2015-12-13T22:00:00,2594449,Cincinnati Bengals,Pittsburgh Steelers,0.78914,0.81684,2015-12-13,18:00:00,8
27,63,4027.0,132.0,44.0,44.0,1181.0,2015-12-20T17:30:00,2015-04-22T00:00:00,4900 Marie P DeBartolo Way,Santa Clara,US,"Santa Clara, CA 95054",58670,Levi's Stadium,95054,0.97239,CA,2015-04-22T00:00:00,Bengals at 49ers,2015-12-21T01:30:00,0.88641,False,2015-12-21T05:30:00,2594489,San Francisco 49ers,Cincinnati Bengals,0.85781,0.78914,2015-12-21,01:30:00,16
28,64,1321.0,422.0,197.0,197.0,2717.0,2015-12-28T18:30:00,2015-04-22T00:00:00,1701 Bryant St.,Denver,US,"Denver, CO 80204",1131,Sports Authority Field at Mile High,80204,0.91368,CO,2015-04-22T00:00:00,Bengals at Broncos,2015-12-29T01:30:00,0.8529,False,2015-12-29T05:30:00,2594499,Denver Broncos,Cincinnati Bengals,0.82504,0.78914,2015-12-29,01:30:00,24
29,65,3675.0,137.0,45.0,45.0,1365.0,2016-01-03T13:00:00,2015-04-22T00:00:00,1 Paul Brown Stadium,Cincinnati,US,"Cincinnati, OH 45202",1124,Paul Brown Stadium,45202,0.87184,OH,2015-04-22T00:00:00,Ravens at Bengals,2016-01-03T18:00:00,0.83653,False,2016-01-03T22:00:00,2594288,Cincinnati Bengals,Baltimore Ravens,0.78914,0.79878,2016-01-03,18:00:00,29
30,68,1271.0,38.0,16.0,16.0,381.0,2015-12-06T13:00:00,2015-04-22T00:00:00,100 Alfred Lerner Way,Cleveland,US,"Cleveland, OH 44114",1123,FirstEnergy Stadium,44114,0.87647,OH,2015-04-22T00:00:00,Bengals at Browns,2015-12-06T18:00:00,0.81024,False,2015-12-06T22:00:00,2594515,Cleveland Browns,Cincinnati Bengals,0.77378,0.78914,2015-12-06,18:00:00,1
31,69,5382.0,44.0,8.0,8.0,1098.0,2015-12-13T13:00:00,2015-04-22T00:00:00,100 Alfred Lerner Way,Cleveland,US,"Cleveland, OH 44114",1123,FirstEnergy Stadium,44114,0.87647,OH,2015-04-22T00:00:00,49ers at Browns,2015-12-13T18:00:00,0.85096,False,2015-12-13T22:00:00,2594512,Cleveland Browns,San Francisco 49ers,0.77378,0.85781,2015-12-13,18:00:00,8
32,70,1701.0,320.5,170.0,170.0,1481.0,2015-12-20T13:05:00,2015-04-22T00:00:00,800 Occidental Avenue South,Seattle,US,"Seattle, WA 98134",339,CenturyLink Field,98134,0.88523,WA,2015-04-22T00:00:00,Browns at Seahawks,2015-12-20T21:05:00,0.85884,False,2015-12-21T01:05:00,2594482,Seattle Seahawks,Cleveland Browns,0.84011,0.77378,2015-12-20,21:05:00,15
33,71,7168.0,60.0,15.0,15.0,1228.0,2015-12-27T12:00:00,2015-04-22T00:00:00,1 Arrowhead Drive,Kansas City,US,"Kansas City, MO 64129",1128,Arrowhead Stadium,64129,0.89495,MO,2015-04-22T00:00:00,Browns at Chiefs,2015-12-27T18:00:00,0.8328,False,2015-12-27T22:00:00,2594312,Kansas City Chiefs,Cleveland Browns,0.79486,0.77378,2015-12-27,18:00:00,22
34,72,5531.0,87.0,33.0,33.0,5287.0,2016-01-03T13:00:00,2015-04-22T00:00:00,100 Alfred Lerner Way,Cleveland,US,"Cleveland, OH 44114",1123,FirstEnergy Stadium,44114,0.87647,OH,2015-04-22T00:00:00,Steelers at Browns,2016-01-03T18:00:00,0.84366,False,2016-01-03T22:00:00,2594517,Cleveland Browns,Pittsburgh Steelers,0.77378,0.81684,2016-01-03,18:00:00,29
35,73,990.0,91.0,40.0,40.0,1741.0,2015-12-06T20:30:00,2015-04-22T00:00:00,100 Art Rooney Avenue,Pittsburgh,US,"Pittsburgh, PA 15212",1119,Heinz Field,15212,0.90114,PA,2015-04-22T00:00:00,Colts at Steelers,2015-12-07T01:30:00,0.84392,False,2015-12-07T05:30:00,2594298,Pittsburgh Steelers,Indianapolis Colts,0.81684,0.79474,2015-12-07,01:30:00,2
36,74,2575.0,187.0,97.0,97.0,2284.0,2015-12-13T13:00:00,2015-04-22T00:00:00,1 Paul Brown Stadium,Cincinnati,US,"Cincinnati, OH 45202",1124,Paul Brown Stadium,45202,0.87184,OH,2015-04-22T00:00:00,Steelers at Bengals,2015-12-13T18:00:00,0.84851,False,2015-12-13T22:00:00,2594449,Cincinnati Bengals,Pittsburgh Steelers,0.78914,0.81684,2015-12-13,18:00:00,8
37,75,2265.0,228.0,101.0,101.0,1747.0,2015-12-20T16:25:00,2015-04-22T00:00:00,100 Art Rooney Avenue,Pittsburgh,US,"Pittsburgh, PA 15212",1119,Heinz Field,15212,0.90114,PA,2015-04-22T00:00:00,Broncos at Steelers,2015-12-20T21:25:00,0.86588,False,2015-12-21T01:25:00,2594583,Pittsburgh Steelers,Denver Broncos,0.81684,0.82504,2015-12-20,21:25:00,15
38,76,1901.0,250.0,100.0,100.0,1452.0,2015-12-27T20:30:00,2015-04-22T00:00:00,1101 Russell St,Baltimore,US,"Baltimore, MD 21230",1121,M&T Bank Stadium,21230,0.89962,MD,2015-04-22T00:00:00,Steelers at Ravens,2015-12-28T01:30:00,0.8523,False,2015-12-28T05:30:00,2594416,Baltimore Ravens,Pittsburgh Steelers,0.79878,0.81684,2015-12-28,01:30:00,23
39,77,5531.0,87.0,33.0,33.0,5287.0,2016-01-03T13:00:00,2015-04-22T00:00:00,100 Alfred Lerner Way,Cleveland,US,"Cleveland, OH 44114",1123,FirstEnergy Stadium,44114,0.87647,OH,2015-04-22T00:00:00,Steelers at Browns,2016-01-03T18:00:00,0.84366,False,2016-01-03T22:00:00,2594517,Cleveland Browns,Pittsburgh Steelers,0.77378,0.81684,2016-01-03,18:00:00,29
40,78,1224.0,52.0,24.0,24.0,231.0,2015-12-06T13:00:00,2015-04-22T00:00:00,1 Bills Drive,Orchard Park,US,"Orchard Park, NY 14127",1135,Ralph Wilson Stadium,14127,0.90079,NY,2015-04-22T00:00:00,Texans at Bills,2015-12-06T18:00:00,0.82702,False,2015-12-06T22:00:00,2594531,Buffalo Bills,Houston Texans,0.79211,0.81394,2015-12-06,18:00:00,1
41,79,1527.0,458.0,247.0,247.0,2047.0,2015-12-13T19:30:00,2015-04-22T00:00:00,1 Reliant Park,Houston,US,"Houston, TX 77054",41,NRG Stadium,77054,0.84406,TX,2015-04-22T00:00:00,Patriots at Texans,2015-12-14T01:30:00,0.86208,False,2015-12-14T05:30:00,2594441,Houston Texans,New England Patriots,0.81394,0.84576,2015-12-14,01:30:00,9
42,80,2569.0,104.0,51.0,51.0,2326.0,2015-12-20T13:00:00,2015-04-22T00:00:00,500 South Capitol Ave.,Indianapolis,US,"Indianapolis, IN 46225",1130,Lucas Oil Stadium,46225,0.91983,IN,2015-04-22T00:00:00,Texans at Colts,2015-12-20T18:00:00,0.84398,False,2015-12-20T22:00:00,2594389,Indianapolis Colts,Houston Texans,0.79474,0.81394,2015-12-20,18:00:00,15
43,81,2078.0,91.5,27.0,27.0,1226.0,2015-12-27T12:00:00,2015-04-22T00:00:00,1 Titans Way,Nashville,US,"Nashville, TN 37213",1126,Nissan Stadium,37213,0.85447,TN,2015-04-22T00:00:00,Texans at Titans,2015-12-27T18:00:00,0.80887,False,2015-12-27T22:00:00,2594465,Tennessee Titans,Houston Texans,0.76112,0.81394,2015-12-27,18:00:00,22
44,82,3027.0,167.0,72.0,72.0,1253.0,2016-01-03T12:00:00,2015-04-22T00:00:00,1 Reliant Park,Houston,US,"Houston, TX 77054",41,NRG Stadium,77054,0.84406,TX,2015-04-22T00:00:00,Jaguars at Texans,2016-01-03T18:00:00,0.84658,False,2016-01-03T22:00:00,2594278,Houston Texans,Jacksonville Jaguars,0.81394,0.72608,2016-01-03,18:00:00,29
45,83,990.0,91.0,40.0,40.0,1741.0,2015-12-06T20:30:00,2015-04-22T00:00:00,100 Art Rooney Avenue,Pittsburgh,US,"Pittsburgh, PA 15212",1119,Heinz Field,15212,0.90114,PA,2015-04-22T00:00:00,Colts at Steelers,2015-12-07T01:30:00,0.84392,False,2015-12-07T05:30:00,2594298,Pittsburgh Steelers,Indianapolis Colts,0.81684,0.79474,2015-12-07,01:30:00,2
46,84,1423.0,95.0,45.0,45.0,1472.0,2015-12-13T13:00:00,2015-04-22T00:00:00,1 Everbank Field,Jacksonville,US,"Jacksonville, FL 32202",5178,EverBank Field,32202,0.84721,FL,2015-04-22T00:00:00,Colts at Jaguars,2015-12-13T18:00:00,0.78977,False,2015-12-13T22:00:00,2594405,Jacksonville Jaguars,Indianapolis Colts,0.72608,0.79474,2015-12-13,18:00:00,8
47,85,2569.0,104.0,51.0,51.0,2326.0,2015-12-20T13:00:00,2015-04-22T00:00:00,500 South Capitol Ave.,Indianapolis,US,"Indianapolis, IN 46225",1130,Lucas Oil Stadium,46225,0.91983,IN,2015-04-22T00:00:00,Texans at Colts,2015-12-20T18:00:00,0.84398,False,2015-12-20T22:00:00,2594389,Indianapolis Colts,Houston Texans,0.79474,0.81394,2015-12-20,18:00:00,15
48,86,2021.0,197.0,62.0,62.0,1630.0,2015-12-27T13:00:00,2015-04-22T00:00:00,2269 NW 199th St,Miami Gardens,US,"Miami Gardens, FL 33056",29,Sun Life Stadium,33056,0.84595,FL,2015-04-22T00:00:00,Colts at Dolphins,2015-12-27T18:00:00,0.83472,False,2015-12-27T22:00:00,2594326,Miami Dolphins,Indianapolis Colts,0.80367,0.79474,2015-12-27,18:00:00,22
49,87,4028.0,97.0,40.0,40.0,1223.0,2016-01-03T13:00:00,2015-04-22T00:00:00,500 South Capitol Ave.,Indianapolis,US,"Indianapolis, IN 46225",1130,Lucas Oil Stadium,46225,0.91983,IN,2015-04-22T00:00:00,Titans at Colts,2016-01-03T18:00:00,0.83852,False,2016-01-03T22:00:00,2594387,Indianapolis Colts,Tennessee Titans,0.79474,0.76112,2016-01-03,18:00:00,29
50,89,465.0,52.0,22.0,22.0,136.0,2015-12-06T12:00:00,2015-04-22T00:00:00,1 Titans Way,Nashville,US,"Nashville, TN 37213",1126,Nissan Stadium,37213,0.85447,TN,2015-04-22T00:00:00,Jaguars at Titans,2015-12-06T18:00:00,0.76871,False,2015-12-06T22:00:00,2594323,Tennessee Titans,Jacksonville Jaguars,0.76112,0.72608,2015-12-06,18:00:00,1
51,90,1423.0,95.0,45.0,45.0,1472.0,2015-12-13T13:00:00,2015-04-22T00:00:00,1 Everbank Field,Jacksonville,US,"Jacksonville, FL 32202",5178,EverBank Field,32202,0.84721,FL,2015-04-22T00:00:00,Colts at Jaguars,2015-12-13T18:00:00,0.78977,False,2015-12-13T22:00:00,2594405,Jacksonville Jaguars,Indianapolis Colts,0.72608,0.79474,2015-12-13,18:00:00,8
